Phase,Question_ID,Category,Question,Genie_Capability,Level_1,Level_2,Level_3,Level_4,Level_5,Level_1_Criteria,Level_2_Criteria,Level_3_Criteria,Level_4_Criteria,Level_5_Criteria,Current_Score (1-5),Evidence,Notes,Priority (Critical/High/Medium/Low),Other_AI_Tools_Used,Example_Prompt,Evidence_Required,Evidence_Notes,Gap_Description
1. Data Discovery,DD-1,Source Data Exploration,How effectively is your team currently using Genie Code to explore and profile source data in Unity Catalog?,Generate data profiling queries | sample data exploration | schema discovery | PII detection,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No use of Genie Code (may use other AI tools without Databricks integration) for data exploration; all profiling done manually OR using basic AI tools (ChatGPT, Copilot) with limited Databricks context","Basic use of Genie Code for simple SELECT queries and row sampling May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Regular use of Genie Code for profiling queries, PII detection, key column identification","Advanced exploration: auto-detect relationships, generate DQ checks, pattern recognition","Intelligent discovery: semantic understanding, auto-catalog creation, lineage inference",,,,High,,"""Profile the claims_data table and identify PII columns like SSN and policy holder details""","Exploration notebooks, profiling queries, discovery documentation",,
1. Data Discovery,DD-2,Unity Catalog Metadata,To what extent does your team leverage Genie Code for Unity Catalog metadata exploration and lineage discovery?,Query Unity Catalog metadata | generate lineage reports | find related tables | ownership analysis,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness catalog browsing only; no AI-assisted metadata queries","Using Genie Code for simple catalog queries; basic metadata exploration May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Comprehensive metadata queries, ownership identification, basic lineage exploration","Advanced: lineage exploration, impact analysis, metadata gap identification","Intelligent catalog assistant: auto-enrichment, semantic search, recommendation engine",,,,High,,"""Find all tables related to claim_id with their lineage across claims, policies, and payments""","Catalog exploration queries, metadata reports, lineage diagrams",,
1. Data Discovery,DD-3,Data Quality Assessment,How is Genie Code being used to generate and automate data quality assessment queries in your current workflows?,"Generate completeness, uniqueness, validity checks | identify anomalies | statistical profiling",❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness data quality checks; no automated DQ query generation","Genie Code generates basic null checks and count queries May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Comprehensive DQ queries: nulls, duplicates, ranges, distributions","Advanced: anomaly detection queries, cross-table validation, historical trends","Intelligent DQ: auto-generate Great Expectations, ML-based anomaly detection",,,,High,,"""Generate data quality checks for the insurance_claims table to detect missing amounts and dates""","DQ assessment notebooks, quality reports, anomaly detection queries",,
1. Data Discovery,DD-4,STTM Discovery,How effectively does your team use Genie Code to accelerate source-to-target mapping (STTM) discovery and documentation?,Identify mapping candidates | suggest transformations | detect relationships | generate STTM docs,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness STTM creation in Excel/spreadsheets; no AI assistance","Experimenting with Genie Code for column name matching May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Intelligent mapping suggestions based on names, data types, and relationships","ML-based semantic matching, transformation logic generation, confidence scores","Fully automated STTM: AI-driven mapping, auto-generate transformation code, living documentation",,,,High,,"""Suggest mappings from source.policy_holders to target.dim_customer for claims warehouse""","STTM documents, mapping queries, transformation specifications",,
1. Data Discovery,DD-5,Complex Data Profiling,How is Genie Code utilized for complex data profiling tasks such as statistical analysis and pattern detection?,Generate statistical analysis queries | distribution analysis | correlation detection,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No statistical profiling OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; basic counts only","Using Genie Code for basic distribution queries (MIN, MAX, AVG) May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Regular statistical profiling: distributions, correlations, outlier detection","Advanced statistical analysis: multivariate analysis, time-series patterns",AI-driven pattern recognition and automated insight generation,,,,High,,"""Perform statistical analysis on claim_amount column to detect outliers and fraud patterns""","Statistical analysis notebooks, distribution reports",,
1. Data Discovery,DD-6,Cross-Domain Discovery,How effectively does Genie Code help your team discover data relationships across multiple domains and catalogs?,Cross-catalog search | relationship discovery | multi-domain lineage | semantic matching,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"No cross-domain discovery OR using generic AI tools (ChatGPT, GitHub Copilot) without Databricks-specific context; siloed catalog exploration","Starting to use Genie Code for single-catalog exploration May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities",Cross-catalog relationship discovery with Genie Code assistance,Intelligent cross-domain discovery with semantic understanding,Autonomous cross-domain discovery with predictive relationship detection,,,,High,,"""Find all tables across catalogs that contain policy holder email addresses and phone numbers""","Cross-catalog discovery documentation, relationship diagrams",,
2. Requirements & Design,RD-1,Requirements Translation,How is Genie Code currently being used to translate business requirements into technical data models and specifications?,Parse requirements | generate data models | create DDL statements | extract from Jira/Confluence,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness requirements translation; no AI assistance in design","Using Genie Code for basic SQL generation from simple descriptions May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Generate table schemas, suggest data types, create documentation","Parse Jira tickets, extract requirements, generate complete data models","AI-driven design: NLP extraction from tickets, auto-generate dimensional models, validation",,,,High,,"""Create a dimensional model for claims analytics based on this Jira ticket for fraud detection""","Design documents, DDL scripts, data models, Jira integration examples",,
2. Requirements & Design,RD-2,Unity Catalog Design,"To what extent does your team use Genie Code to design and implement Unity Catalog structures (catalogs, schemas, tables)?",Generate CREATE CATALOG/SCHEMA/TABLE statements | set permissions | add metadata tags,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness UC structure creation; basic DDL written by hand","Genie Code generates basic CREATE TABLE statements May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Complete UC structure: catalogs, schemas, tables with metadata and tags","Include tags, ownership, permissions, lineage documentation","Intelligent UC design: naming conventions, governance policies, auto-tagging",,,,High,,"""Set up Unity Catalog structure for the insurance claims data warehouse with proper governance""","UC creation scripts, schema documentation, governance policies",,
2. Requirements & Design,RD-3,DLT Pipeline Design,How effectively is Genie Code being leveraged to design and configure Delta Live Tables (DLT) pipelines?,Generate DLT pipeline configs | define expectations | create dependencies | medallion architecture,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,"Manual OR basic AI tools (ChatGPT, Copilot) without Databricks awareness DLT pipeline design; basic configurations","Using Genie Code for simple streaming table definitions May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Complete DLT pipeline: bronze/silver/gold, basic expectations","Advanced: auto-loader configs, schema evolution, comprehensive DQ expectations","Intelligent pipeline design: optimized configs, ML-based expectations, auto-tuning",,,,High,,"""Design a DLT pipeline for CDC ingestion from policy administration system""","DLT pipeline definitions, expectation configs, pipeline diagrams",,
2. Requirements & Design,RD-4,Transformation Logic,How is Genie Code used to generate transformation logic from business rules and requirements documents?,Parse business rules | generate SQL/PySpark transformations | create documentation,❌ No/Minimal Usage,⚠️ Ad-hoc/Experimental,✓ Regular/Defined,✓✓ Advanced/Optimized,★ Leading/Innovative,All transformation logic hand-coded from scratch,"Genie Code generates simple aggregation logic May use other AI tools (Copilot, ChatGPT) for basic tasks but limited Databricks-specific capabilities","Complex transformations: joins, windows, aggregations from descriptions","Parse business rule documents, generate optimized code, include error handling","AI-driven transformation: NLP from tickets, optimal query plans, auto-testing",,,,High,,"""Generate transformation to calculate total claim liability and loss ratio by policy type""","Transformation notebooks, business rule documentation, generated code",,
